,Unnamed: 0,index,Login Timestamp,User ID,Round-Trip Time [ms],IP Address,Country,Region,City,ASN,User Agent String,Browser Name and Version,OS Name and Version,Device Type,Login Successful,Is Attack IP,Is Account Takeover,date,day,month,year,hour
75543,30826451,30826451,2021-02-23 12:58:47.027,-4324475583306591935,,23.137.225.125,US,-,-,393398,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Mobile/15E148 Snapchat/11.8.1.33 (like Safari/604.1)",Snapchat 11.8.1,iOS 14.2.1,mobile,False,False,False,2021-02-23,23,2,2021,12
18882,14767499,14767499,2020-08-27 11:23:57.532,8923583256285192074,,199.26.84.192,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.18 Mobile Safari/537.36",Chrome Mobile 81.0.4044,Android 4.1,mobile,False,False,False,2020-08-27,27,8,2020,11
74867,22475422,22475422,2020-11-29 13:44:33.786,-4324475583306591935,,10.3.205.191,RU,Moscow,Moscow,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,2020-11-29,29,11,2020,13
25000,21356544,21356544,2020-11-20 14:56:23.699,-4324475583306591935,,10.3.205.197,RU,St.-Petersburg,St Petersburg,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,2020-11-20,20,11,2020,14
40968,5226104,5226104,2020-04-14 18:38:24.937,-4324475583306591935,,84.209.87.36,NO,Trøndelag,Trondheim,41164,Mozilla/5.0  (Linux; U; Android 2.2) Gecko/20150101 Firefox/20.0.0.1610 (Chrome,Firefox 20.0.0.1610,Android 2.2,mobile,False,False,False,2020-04-14,14,4,2020,18
59042,28779232,28779232,2021-01-28 11:11:27.139,-4324475583306591935,,170.39.76.101,US,-,-,393398,Mozilla/5.0  (iPhone; CPU iPhone OS 14_2_1 like Mac OS X) Gecko/48.0.0.3128.3134 Firefox/48.0.0.3128.3134 KAIOS/2.5.1.1,Firefox Mobile 48.0.0.3128.3134,iOS 14.2.1,mobile,False,False,False,2021-01-28,28,1,2021,11
55101,16873651,16873651,2020-09-25 03:18:35.440,-4324475583306591935,,91.186.8.228,GB,-,-,29550,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.22.42 Safari/537.36",Chrome 69.0.3497.17.22,Chrome OS 5978.98.0,desktop,False,True,False,2020-09-25,25,9,2020,3
98274,17179922,17179922,2020-09-29 13:19:57.725,-4324475583306591935,,199.26.84.70,US,-,-,393398,Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) Gecko/20081407 Firefox/20.0.0.1754,Firefox 20.0.0.1754,Android 6.0.99,mobile,False,False,False,2020-09-29,29,9,2020,13
88115,15025390,15025390,2020-08-30 17:29:33.915,3489766967843928647,,109.238.219.14,CZ,Central Bohemia,Kly,48574,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) supra AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1930.66 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1930,iOS 13.4,mobile,False,False,False,2020-08-30,30,8,2020,17
19388,21771674,21771674,2020-11-24 08:24:09.879,-4324475583306591935,,10.3.205.197,RU,St.-Petersburg,St Petersburg,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,2020-11-24,24,11,2020,8
63995,15835768,15835768,2020-09-10 13:50:54.060,-4324475583306591935,,170.39.78.176,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/88.0.4324.181 DuckDuckGo/5 Safari/537.36",Chrome Mobile WebView 88.0.4324,iOS 11.2.6,mobile,False,False,False,2020-09-10,10,9,2020,13
72108,17336141,17336141,2020-10-01 14:18:16.944,-4324475583306591935,,10.0.60.22,NO,Nordland,Silsand,29695,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Mobile/14B72",Mobile Safari UI/WKWebView ,iOS 10.1,mobile,False,False,False,2020-10-01,1,10,2020,14
93179,21804496,21804496,2020-11-24 13:35:55.855,1084294350835187641,,51.174.135.111,NO,Vestfold og Telemark,Skien,29695,"Mozilla/5.0  (X11; CrOS aarch64 11316.123.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.21.12 Safari/537.36",Chrome 69.0.3497.17.21,Chrome OS 11316.123.0,desktop,True,False,False,2020-11-24,24,11,2020,13
66225,16787228,16787228,2020-09-23 19:02:28.632,-4324475583306591935,,10.0.181.218,HK,,Pak Kok San Tsuen,262582,"Mozilla/5.0  (Macintosh; Intel Mac OS X 11_6_3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/84.0.4147.338.339.125 Safari/537.36/QN0TI7Tz-14",Chrome 84.0.4147.338.339,Mac OS X 11.6.3,desktop,False,False,False,2020-09-23,23,9,2020,19
99692,21435678,21435678,2020-11-21 07:12:18.326,4265675679016277643,,10.1.9.224,ID,Central Java,Babakan,207674,"Mozilla/5.0 (Linux; U; Android 2.3.3; nb-no; Desire_A8181 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1",Android 2.3.3,Android 2.3.3,mobile,False,False,False,2020-11-21,21,11,2020,7
10393,26060205,26060205,2021-01-01 19:59:04.506,-4324475583306591935,,10.3.205.195,RU,Sverdlovsk Oblast,Alapayevsk,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,2021-01-01,1,1,2021,19
98056,25619280,25619280,2020-12-29 06:21:31.469,-4324475583306591935,,10.3.205.197,RU,St.-Petersburg,St Petersburg,15599,ZipppBot/0.11 (ZipppBot; https://github.com/das-group/rba-dataset; webmaster@zippp.net),ZipppBot 0.11,Other ,bot,False,False,False,2020-12-29,29,12,2020,6
39572,21490488,21490488,2020-11-21 17:25:33.190,-4324475583306591935,,91.221.219.251,UA,Ivano-Frankivsk Oblast,Dolyna,52074,"Mozilla/5.0  (Mobile; LYF/F220B/LYF-F220B-003-01-45-051119;Android; https://github.com/das-group/rba-dataset) forge AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1937.111 Mobile Safari/537.36 variation/133528",Chrome Mobile 81.0.4044.1937,KaiOS 2.5,mobile,False,False,False,2020-11-21,21,11,2020,17
14825,31003450,31003450,2021-02-25 15:37:30.911,6182877315230139699,,92.221.250.229,NO,Viken,Sandvika,29695,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,mobile,False,False,False,2021-02-25,25,2,2021,15
34456,835698,835698,2020-02-14 11:50:11.051,3382218273773420328,,176.107.145.86,PL,Mazovia,Warsaw,205727,"Mozilla/5.0  (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; https://github.com/das-group/rba-dataset; IEMobile/11.0; Microsoft; Lumia 430 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.101 Mobile Safari/537.36 [TNMOBILE/Android 2.14.0]",Chrome Mobile WebView 85.0.4183,Windows Phone 8.1,mobile,False,False,False,2020-02-14,14,2,2020,11
40121,1113159,1113159,2020-02-18 06:12:26.692,-3614708633192005257,,80.239.53.179,NO,Rogaland,Bryne,25400,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.17 Mobile Safari/537.36 variation/151967",Chrome Mobile 81.0.4044,iOS 11.2.6,mobile,True,False,False,2020-02-18,18,2,2020,6
72613,11998873,11998873,2020-07-18 13:07:43.001,-4324475583306591935,,156.52.204.98,NO,-,-,29695,"Mozilla/5.0  (Linux; Android 6.9; SM-J500H/DS Build/KOT49H) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/125929",Android 2.3.4,Android 6.9,mobile,False,False,False,2020-07-18,18,7,2020,13
11501,23959632,23959632,2020-12-12 17:40:34.375,-4324475583306591935,,10.3.205.76,ID,Bali,Denpasar,500161,"Mozilla/5.0 (X11; CrOS x86_64 12739.106.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.236.158 Safari/537.36",Chrome 80.0.3987.236,Chrome OS 12739.106.0,desktop,False,False,False,2020-12-12,12,12,2020,17
74162,3866593,3866593,2020-03-27 08:49:37.411,-5426861411707042529,,81.166.172.136,NO,Viken,Mjondalen,29695,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.201.130 Safari/537.36",Chrome 79.0.3945.192.201,Mac OS X 10.13.3,desktop,False,False,False,2020-03-27,27,3,2020,8
30374,19013875,19013875,2020-10-24 08:52:24.255,5840757025440548384,,89.184.71.61,UA,-,-,28907,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1927.117 Mobile Safari/537.36 PHX/5.4",Chrome Mobile 81.0.4044.1927,iOS 13.4,mobile,True,False,False,2020-10-24,24,10,2020,8
31028,26526638,26526638,2021-01-05 10:29:45.937,-4324475583306591935,,23.137.224.73,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/81.0.4044.117 Mobile Safari/537.36 mailapp/5.7.0",Chrome Mobile WebView 81.0.4044,Android 4.1,mobile,False,False,False,2021-01-05,5,1,2021,10
40091,8569302,8569302,2020-06-01 09:00:49.068,6751931142590882283,,201.150.80.62,BR,Rio Grande do Sul,Sertao,262544,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/90.0.4411.0 Safari/537.36 variation/1035",Chrome 90.0.4411,Chrome OS 5978.98.0,desktop,True,False,False,2020-06-01,1,6,2020,9
43432,9177690,9177690,2020-06-09 21:52:58.021,8844736328889355715,,51.175.109.59,NO,Viken,Lillestrøm,29695,Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) Gecko/20100101 Firefox/20.0.0.1604 variation/246874,Firefox 20.0.0.1604,iOS 13.4,mobile,True,False,False,2020-06-09,9,6,2020,21
74846,6712825,6712825,2020-05-05 13:14:55.008,-4324475583306591935,,51.175.88.131,NO,Viken,Jar,29695,"Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,mobile,False,False,False,2020-05-05,5,5,2020,13
9315,3044797,3044797,2020-03-15 20:44:34.457,-2851173057290648418,,185.199.85.5,CZ,Olomoucky kraj,Vilemov,205968,"Mozilla/5.0  (Linux; U; Android 2.2) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.122 Mobile Safari/537.36",Chrome Mobile 81.0.4044,Android 2.2,mobile,True,False,False,2020-03-15,15,3,2020,20
20599,1403260,1403260,2020-02-21 19:53:13.032,6361908515309298593,,185.113.57.140,IR,-,-,60627,"Mozilla/5.0  (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298",Opera Mobile 52.1.2254,Android 13.0,tablet,True,False,False,2020-02-21,21,2,2020,19
93996,19488418,19488418,2020-10-30 11:58:30.837,-4324475583306591935,,185.243.42.1,CN,-,-,18254,VLC/3.0.0-git LibVLC/3.0.0-git,VLC 3.0.0-git,Other ,unknown,False,False,False,2020-10-30,30,10,2020,11
26588,20517130,20517130,2020-11-12 00:30:01.683,-4324475583306591935,,170.39.76.95,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) (XT1925DL AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1927.138 Mobile Safari/537.36 variation/219785",Chrome Mobile 81.0.4044.1927,iOS 13.4,mobile,False,False,False,2020-11-12,12,11,2020,0
79431,8412616,8412616,2020-05-29 15:02:17.687,-7014544788915792196,,23.137.224.72,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.138 Mobile Safari/537.36,gzip(gfe,gzip(gfe variation/48901",Chrome Mobile 81.0.4044.1926,Android 4.1,mobile,False,False,False,2020-05-29,29,5,2020,15
38701,18750253,18750253,2020-10-20 14:09:17.725,-7023817194699625504,,209.42.241.159,GB,-,-,63410,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Falkon/3.0.1 Chrome/69.0.3497.17.28.128 Safari/537.36 variation/211135",Chrome 69.0.3497.17.28,iOS 13.4,mobile,True,False,False,2020-10-20,20,10,2020,14
90942,25723162,25723162,2020-12-29 23:26:38.266,7147592221252199395,,188.228.86.218,NO,-,-,29695,"'Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/67.0.3396.87 Safari/537.36' variation/209591",Chrome 67.0.3396,iOS 13.4,mobile,True,False,False,2020-12-29,29,12,2020,23
29840,4817146,4817146,2020-04-08 20:09:58.755,-8621646069924460003,,46.212.50.73,NO,Viken,Klofta,41164,"Mozilla/5.0 (X11; CrOS armv7l 11316.123.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.51.97 Safari/537.36",Chrome 72.0.3626.51,Chrome OS 11316.123.0,desktop,True,False,False,2020-04-08,8,4,2020,20
68588,8753707,8753707,2020-06-03 21:35:12.249,5731181173476354107,,79.161.56.189,NO,Vestfold og Telemark,Holmestrand,29695,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/79.0.3945.192.130 Safari/537.36 RuxitSynthetic/1.0 v4984096658 t8347097904287973985",Chrome 79.0.3945.192,Chrome OS 5978.98.0,desktop,True,False,False,2020-06-03,3,6,2020,21
24502,30270910,30270910,2021-02-16 07:27:39.245,-4324475583306591935,,195.88.227.40,US,Texas,Dallas,398986,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1933.111 Mobile Safari/537.36 PHX/5.0",Chrome Mobile 81.0.4044.1933,iOS 11.2.6,mobile,False,True,False,2021-02-16,16,2,2021,7
20373,26882386,26882386,2021-01-07 19:21:59.898,-4324475583306591935,,80.203.160.163,NO,-,-,15659,"Mozilla/5.0  (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko Chrome/72.0.3626.57.117 Safari/537.36",Chrome 72.0.3626.57,Chromecast 1.49.230269,desktop,False,False,False,2021-01-07,7,1,2021,19
96226,27422276,27422276,2021-01-12 14:15:09.011,1687565026482262796,,209.236.125.9,US,-,-,393398,Mozilla/5.0 (Macintosh; Intel Mac OS X 11_6_3) Gecko/20081407 Firefox/20.0.0.1604,Firefox 20.0.0.1604,Mac OS X 11.6.3,desktop,False,True,False,2021-01-12,12,1,2021,14
82209,25231636,25231636,2020-12-26 04:07:31.577,-4324475583306591935,,170.39.76.187,US,-,-,393398,"Mozilla/5.0  (Linux; Android 10.0.99) AppleWebKit/537.36 (KHTML, like Gecko SamsungBrowser/6.4 Chrome/56.0.2924.87 Safari/537.36 variation/21386",Samsung Internet 6.4,Android 10.0.99,mobile,False,False,False,2020-12-26,26,12,2020,4
71266,18225214,18225214,2020-10-13 12:17:34.614,-4324475583306591935,,10.0.181.223,CH,Zurich,Zurich,262582,"Mozilla/5.0  (Macintosh; Intel Mac OS X 11_6_3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/84.0.4147.338.339.125 Safari/537.36/QN0TI7Tz-14",Chrome 84.0.4147.338.339,Mac OS X 11.6.3,desktop,False,False,False,2020-10-13,13,10,2020,12
61198,17671498,17671498,2020-10-05 21:10:52.093,-4324475583306591935,,10.0.181.227,BD,-,-,262582,"Mozilla/5.0  (Macintosh; Intel Mac OS X 11_6_3) AppleWebKit/537.36 (KHTML, like Gecko Chrome/84.0.4147.338.339.125 Safari/537.36/QN0TI7Tz-14",Chrome 84.0.4147.338.339,Mac OS X 11.6.3,desktop,False,False,False,2020-10-05,5,10,2020,21
75424,7623865,7623865,2020-05-18 03:19:37.278,-6237201978046910636,,156.52.9.176,NO,-,-,29695,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1926.138 Mobile Safari/537.36 PHX/6.7",Chrome Mobile 81.0.4044.1926,iOS 11.2.6,mobile,True,False,False,2020-05-18,18,5,2020,3
25570,3760116,3760116,2020-03-25 18:20:23.999,-2547182710367107506,,38.135.39.108,US,-,-,393398,"Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) play Build/OPP27.91-25 AppleWebKit/537.36 (KHTML, like Gecko Chrome/63.0.3239.111 Mobile Safari/537.36",Chrome Mobile 63.0.3239,Android 4.1,mobile,False,True,False,2020-03-25,25,3,2020,18
52280,8921868,8921868,2020-06-06 09:36:58.011,-4324475583306591935,,109.74.6.13,GB,-,-,43948,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1943.122 Mobile Safari/537.36",Chrome Mobile 81.0.4044.1943,iOS 11.2.6,mobile,False,False,False,2020-06-06,6,6,2020,9
53738,28222896,28222896,2021-01-21 15:38:35.912,-2909258092887072039,,62.113.141.225,NO,-,-,25400,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2.3433 Mobile/15E148 Safari/604.1",Mobile Safari 12.1.2.3433,iOS 12.5.4,mobile,True,False,False,2021-01-21,21,1,2021,15
72789,18294835,18294835,2020-10-14 11:21:39.811,6862829041666442350,,176.107.143.224,PL,Mazovia,Warsaw,205727,"Mozilla/5.0 (Linux; Android 5.5.1; CHM-U01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1971.138 Mobile Safari/537.36 variation/88486",Chrome Mobile 81.0.4044.1971,Android 5.5.1,mobile,True,False,False,2020-10-14,14,10,2020,11
24181,23801279,23801279,2020-12-11 00:42:01.137,-7686044914408425298,,10.0.184.212,GB,-,-,29550,"Mozilla/5.0  (X11; CrOS armv7l 5978.98.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.23.120 Safari/537.36",Chrome 69.0.3497.17.23,Chrome OS 5978.98.0,desktop,True,False,False,2020-12-11,11,12,2020,0
62097,2220668,2220668,2020-03-03 19:04:12.254,-4324475583306591935,,158.149.98.99,NO,Innlandet,Folldal,29492,"Mozilla/5.0  (X11; CrOS x86_64 13729.56.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/69.0.3497.17.19.128 Safari/537.36 (Ecosia android@69.0.3497.17.19.128",Chrome 69.0.3497.17.19,Chrome OS 13729.56.0,desktop,False,False,False,2020-03-03,3,3,2020,19
18723,9165495,9165495,2020-06-09 18:12:44.808,8358759422949174093,,10.2.214.232,BR,-,-,262680,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1925.138 Mobile Safari/537.36 PHX/6.4 variation/157670",Chrome Mobile 81.0.4044.1925,iOS 11.2.6,mobile,True,False,False,2020-06-09,9,6,2020,18
5665,20020050,20020050,2020-11-06 01:24:29.962,-2293980613370200150,,23.137.224.67,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 13_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1927.138 Mobile Safari/537.36 PHX/6.3 variation/219108",Chrome Mobile 81.0.4044.1927,iOS 13.4,mobile,False,False,False,2020-11-06,6,11,2020,1
10514,19256856,19256856,2020-10-27 17:14:15.510,-8720177534923075484,,178.16.76.252,NO,Nordland,Neverdal,29695,"Mozilla/5.0  (X11; Linux armv7l) AppleWebKit/537.36 (KHTML, like Gecko Chrome/72.0.3626.54.105 Safari/537.36",Chrome 72.0.3626.54,Chromecast 1.49.230269,desktop,True,False,False,2020-10-27,27,10,2020,17
1616,24130184,24130184,2020-12-14 16:18:43.324,-3221035544798213662,,146.120.170.175,UA,Ternopil Oblast,Monastyryska,43309,"Mozilla/5.0 (Linux; Android 5.5.1; CHM-U01) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1927.138 Mobile Safari/537.36 variation/76031",Chrome Mobile 81.0.4044.1927,Android 5.5.1,mobile,True,False,False,2020-12-14,14,12,2020,16
57791,13962018,13962018,2020-08-16 07:33:57.503,-4324475583306591935,,170.39.79.28,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/87.0.4280.141 Mobile Safari/537.36Snapchat11.9.0.51 (SM-G973F; Android 9#G973FXXS3ASH1#28; gzip",Chrome Mobile WebView 87.0.4280,iOS 11.2.6,mobile,False,False,False,2020-08-16,16,8,2020,7
65996,18462520,18462520,2020-10-16 16:22:37.164,-4324475583306591935,,23.137.224.160,US,-,-,393398,"Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Build/NCQS26.85-64-9; wv AppleWebKit/537.36 (KHTML, like Gecko Version/4.0 Chrome/81.0.4044.111 Mobile Safari/537.36",Chrome Mobile WebView 81.0.4044,iOS 11.2.6,mobile,False,False,False,2020-10-16,16,10,2020,16
39267,15325857,15325857,2020-09-03 12:34:56.294,4993559784834397586,,51.174.201.201,NO,Vestfold og Telemark,Vear,29695,"Mozilla/5.0  (Linux; U; Android 5.4.3; en-us; GT-I9060 Build/JDQ39) AppleWebKit/533.1 (KHTML, like Gecko Version/4.0 Mobile Safari/533.1 variation/69385",Android 2.3.3.2660,Android 5.4.3,mobile,False,True,False,2020-09-03,3,9,2020,12
78988,13725055,13725055,2020-08-12 14:58:04.033,-4324475583306591935,,209.236.123.74,US,-,-,393398,Mozilla/5.0  (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) Gecko/20150101 Firefox/20.0.0.1780 (Chrome,Firefox 20.0.0.1780,Android 4.1,mobile,False,True,False,2020-08-12,12,8,2020,14
